ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet,Description_TR
BP,GO:0043603,amide metabolic process,6/17,472/18986,0.012711864406779662,14.19690927218345,8.691618261930428,2.242433974609048e-6,8.609298641012046e-4,4.887997985158104e-4,ALOXE3/ASL/GBA3/PLA2G4E/SLC1A1/SLC25A15,6,Rpost_18,Amit metabolik süreci
BP,GO:0015695,organic cation transport,4/17,120/18986,0.03333333333333333,37.227450980392156,11.917798233437964,3.3894876539417506e-6,8.609298641012046e-4,4.887997985158104e-4,SLC1A1/SLC25A15/SLC44A1/SLC6A3,4,Rpost_18,Organik katyon taşınımı
BP,GO:0043604,amide biosynthetic process,4/17,175/18986,0.022857142857142857,25.527394957983194,9.758252471446847,1.5113686152693546e-5,0.0025592508551894404,0.0014530350897677307,ALOXE3/ASL/SLC1A1/SLC25A15,4,Rpost_18,Amit biyosentetik süreci
BP,GO:0000050,urea cycle,2/17,12/18986,0.16666666666666666,186.13725490196077,19.20492157652966,4.954282238303393e-5,0.005707905084121574,0.003240708647014736,ASL/SLC25A15,2,Rpost_18,Üre döngüsü
BP,GO:0019627,urea metabolic process,2/17,14/18986,0.14285714285714285,159.54621848739495,17.76523231324587,6.823711706075148e-5,0.005707905084121574,0.003240708647014736,ASL/SLC25A15,2,Rpost_18,Üre metabolik süreci
BP,GO:0051262,protein tetramerization,3/17,99/18986,0.030303030303030304,33.84313725490196,9.808176796266828,8.868234897051933e-5,0.005707905084121574,0.003240708647014736,GRIN1/RRM2/TRPM7,3,Rpost_18,Protein tetramerizasyonu
BP,GO:0051290,protein heterotetramerization,2/17,16/18986,0.125,139.60294117647058,16.603754953374022,8.988826904128463e-5,0.005707905084121574,0.003240708647014736,GRIN1/RRM2,2,Rpost_18,Protein heterotetramerizasyonu
BP,GO:0071941,nitrogen cycle metabolic process,2/17,16/18986,0.125,139.60294117647058,16.603754953374022,8.988826904128463e-5,0.005707905084121574,0.003240708647014736,ASL/SLC25A15,2,Rpost_18,Azot döngüsü metabolik süreci
BP,GO:0042402,cellular biogenic amine catabolic process,2/17,19/18986,0.10526315789473684,117.56037151702786,15.217241904722307,1.2788855128697052e-4,0.007218598228197892,0.004098416731301746,SLC44A1/SLC6A3,2,Rpost_18,
BP,GO:0009310,amine catabolic process,2/17,21/18986,0.09523809523809523,106.3641456582633,14.462175154100365,1.5689077436500107e-4,0.007428477269423807,0.004217577231293253,SLC44A1/SLC6A3,2,Rpost_18,
BP,GO:0009308,amine metabolic process,3/17,121/18986,0.024793388429752067,27.689839572192515,8.816938000017368,1.6085285425917694e-4,0.007428477269423807,0.004217577231293253,SLC1A1/SLC44A1/SLC6A3,3,Rpost_18,Amin metabolik süreci
BP,GO:0006829,zinc ion transport,2/17,31/18986,0.06451612903225806,72.05313092979127,11.852493215785287,3.455765017502581e-4,0.013504066376087009,0.007667041415349856,SLC1A1/TRPM7,2,Rpost_18,Çinko iyonu taşınımı
BP,GO:0051291,protein heterooligomerization,2/17,31/18986,0.06451612903225806,72.05313092979127,11.852493215785287,3.455765017502581e-4,0.013504066376087009,0.007667041415349856,GRIN1/RRM2,2,Rpost_18,Protein heterooligomerizasyonu
BP,GO:0006865,amino acid transport,3/17,165/18986,0.01818181818181818,20.305882352941175,7.45620471339816,4.007293606952711e-4,0.01454075108808555,0.008255627430864986,SLC1A1/SLC25A15/SLC6A3,3,Rpost_18,Amino asit taşınımı
BP,GO:0035725,sodium ion transmembrane transport,3/17,188/18986,0.015957446808510637,17.82165206508135,6.939038403342317,5.865665499977522e-4,0.019246979624421817,0.010927626226878531,GRIN1/SLC6A3/TPCN1,3,Rpost_18,Sodyum iyonu transmembran taşınımı
BP,GO:0042417,dopamine metabolic process,2/17,41/18986,0.04878048780487805,54.47919655667145,10.26211886518959,6.062040826589548e-4,0.019246979624421817,0.010927626226878531,SLC1A1/SLC6A3,2,Rpost_18,
BP,GO:0007626,locomotory behavior,3/17,213/18986,0.014084507042253521,15.729908864954432,6.471881617543836,8.429279866240675e-4,0.025188671600295667,0.014301069246748888,ASL/SLC1A1/SLC6A3,3,Rpost_18,
BP,GO:0007215,glutamate receptor signaling pathway,2/17,55/18986,0.03636363636363636,40.61176470588235,8.806965617155255,0.0010897622306272517,0.027966214893260847,0.015878041609518178,GRIN1/SLC1A1,2,Rpost_18,
BP,GO:0031331,positive regulation of cellular catabolic process,3/17,235/18986,0.01276595744680851,14.25732165206508,6.121883360013662,0.0011198011643141852,0.027966214893260847,0.015878041609518178,DHRSX/PFKFB1/TPCN1,3,Rpost_18,Hücresel katabolik sürecin pozitif düzenlenmesi
BP,GO:0006584,catecholamine metabolic process,2/17,57/18986,0.03508771929824561,39.18679050567595,8.643592699968295,0.0011699873975932267,0.027966214893260847,0.015878041609518178,SLC1A1/SLC6A3,2,Rpost_18,
BP,GO:0009712,catechol-containing compound metabolic process,2/17,57/18986,0.03508771929824561,39.18679050567595,8.643592699968295,0.0011699873975932267,0.027966214893260847,0.015878041609518178,SLC1A1/SLC6A3,2,Rpost_18,Katekol içeren bileşik metabolik süreci
BP,GO:0042220,response to cocaine,2/17,58/18986,0.034482758620689655,38.51115618661258,8.5650445589111,0.0012111352906530289,0.027966214893260847,0.015878041609518178,SLC1A1/SLC6A3,2,Rpost_18,
BP,GO:0006814,sodium ion transport,3/17,251/18986,0.01195219123505976,13.3484883993438,5.8956453829579285,0.0013535238549235646,0.029895222534833513,0.016973251086913353,GRIN1/SLC6A3/TPCN1,3,Rpost_18,Sodyum iyonu taşınımı
BP,GO:0051259,protein complex oligomerization,3/17,275/18986,0.01090909090909091,12.183529411764706,5.592477879141039,0.0017584326490993354,0.03722015773926927,0.021132041484790264,GRIN1/RRM2/TRPM7,3,Rpost_18,Protein kompleksi oligomerizasyonu
BP,GO:1902475,L-alpha-amino acid transmembrane transport,2/17,80/18986,0.025,27.92058823529412,7.223326657072264,0.0022886620259799074,0.04650561236791172,0.026403932426041887,SLC1A1/SLC25A15,2,Rpost_18,L-alfa-amino asit transmembran taşınımı
BP,GO:0010232,vascular transport,2/17,88/18986,0.022727272727272728,25.38235294117647,6.863040637028703,0.002760831571759717,0.04993205933839022,0.02834932502842711,SLC1A1/SLC44A1,2,Rpost_18,Vasküler taşınım
BP,GO:0150104,transport across blood-brain barrier,2/17,88/18986,0.022727272727272728,25.38235294117647,6.863040637028703,0.002760831571759717,0.04993205933839022,0.02834932502842711,SLC1A1/SLC44A1,2,Rpost_18,Kan-beyin bariyerinden taşınım
BP,GO:0008306,associative learning,2/17,90/18986,0.022222222222222223,24.818300653594775,6.780389313456646,0.0028854524251315777,0.04993205933839022,0.02834932502842711,GRIN1/SLC1A1,2,Rpost_18,
BP,GO:0050890,cognition,3/17,329/18986,0.00911854103343465,10.183801180046487,5.030452580583441,0.0029275660554445694,0.04993205933839022,0.02834932502842711,GRIN1/SLC1A1/SLC6A3,3,Rpost_18,
BP,GO:0051591,response to cAMP,2/17,91/18986,0.02197802197802198,24.54557207498384,6.740064272477697,0.002948743661715958,0.04993205933839022,0.02834932502842711,PFKFB1/SLC6A3,2,Rpost_18,cAMP'ye yanıt
BP,GO:0070588,calcium ion transmembrane transport,3/17,348/18986,0.008620689655172414,9.627789046653145,4.8629189279675344,0.0034300689435410045,0.0530411367548209,0.030114528534647595,GRIN1/TPCN1/TRPM7,3,Rpost_18,Kalsiyum iyonu transmembran taşınımı
BP,GO:0006576,biogenic amine metabolic process,2/17,99/18986,0.020202020202020204,22.562091503267975,6.439238855897367,0.0034784707117790394,0.0530411367548209,0.030114528534647595,SLC1A1/SLC6A3,2,Rpost_18,Biyojenik amin metabolik süreci
BP,GO:0016042,lipid catabolic process,3/17,351/18986,0.008547008547008548,9.545500251382606,4.837643871524811,0.0035139601952038245,0.0530411367548209,0.030114528534647595,GBA3/HSD11B1/PLA2G4E,3,Rpost_18,Lipit katabolik süreci
BP,GO:0000041,transition metal ion transport,2/17,102/18986,0.0196078431372549,21.898500576701267,6.335425097128128,0.003687771192639565,0.0530411367548209,0.030114528534647595,SLC1A1/TRPM7,2,Rpost_18,Geçiş metali iyonu taşınımı
BP,GO:0015807,L-amino acid transport,2/17,102/18986,0.0196078431372549,21.898500576701267,6.335425097128128,0.003687771192639565,0.0530411367548209,0.030114528534647595,SLC1A1/SLC25A15,2,Rpost_18,
BP,GO:0043279,response to alkaloid,2/17,103/18986,0.019417475728155338,21.68589377498572,6.301804835834785,0.003758820714908568,0.0530411367548209,0.030114528534647595,SLC1A1/SLC6A3,2,Rpost_18,
BP,GO:0003333,amino acid transmembrane transport,2/17,108/18986,0.018518518518518517,20.681917211328972,6.140572038945243,0.004123640634695133,0.05661647141689534,0.03214445331170602,SLC1A1/SLC25A15,2,Rpost_18,Amino asit transmembran taşınımı
BP,GO:0006672,ceramide metabolic process,2/17,112/18986,0.017857142857142856,19.94327731092437,6.019212781775854,0.004426919699467872,0.05918092650867576,0.033600443148315715,ALOXE3/GBA3,2,Rpost_18,Seramit metabolik süreci
BP,GO:0018958,phenol-containing compound metabolic process,2/17,117/18986,0.017094017094017096,19.091000502765212,5.876092415640797,0.004820186540559385,0.06278601955395302,0.03564726348483865,SLC1A1/SLC6A3,2,Rpost_18,Fenol içeren bileşik metabolik süreci
BP,GO:0009185,ribonucleoside diphosphate metabolic process,2/17,126/18986,0.015873015873015872,17.72735760971055,5.63961313273722,0.005567340627598784,0.07070522597050456,0.040143456104264924,PFKFB1/RRM2,2,Rpost_18,Ribonükleozit difosfat metabolik süreci
BP,GO:0045471,response to ethanol,2/17,129/18986,0.015503875968992248,17.315093479252166,5.566159720837944,0.005827506668688005,0.0722042289681343,0.040994527014647335,GRIN1/SLC6A3,2,Rpost_18,
BP,GO:0009132,nucleoside diphosphate metabolic process,2/17,133/18986,0.015037593984962405,16.794338788146838,5.471980981352173,0.006182962049010278,0.0747843981166005,0.042459438632301165,PFKFB1/RRM2,2,Rpost_18,Nükleozit difosfat metabolik süreci
BP,GO:0046683,response to organophosphorus,2/17,135/18986,0.014814814814814815,16.54553376906318,5.426413308699436,0.0063643428804092085,0.07518805077320646,0.042688615648277195,PFKFB1/SLC6A3,2,Rpost_18,Organofosfora yanıt
BP,GO:0006816,calcium ion transport,3/17,445/18986,0.006741573033707865,7.529147389292795,4.172318410435587,0.006809655812795522,0.07545977156465807,0.042842887295309384,GRIN1/TPCN1/TRPM7,3,Rpost_18,Kalsiyum iyonu taşınımı
BP,GO:0009410,response to xenobiotic stimulus,3/17,451/18986,0.0066518847006651885,7.428981348637016,4.136582446785302,0.0070659418122626366,0.07545977156465807,0.042842887295309384,GRIN1/SLC1A1/SLC6A3,3,Rpost_18,Ksenobiyotik uyarana yanıt
BP,GO:0014074,response to purine-containing compound,2/17,150/18986,0.013333333333333334,14.890980392156862,5.113187635870291,0.007801413871419758,0.07545977156465807,0.042842887295309384,PFKFB1/SLC6A3,2,Rpost_18,Pürin içeren bileşiğe yanıt
BP,GO:0031329,regulation of cellular catabolic process,3/17,472/18986,0.006355932203389831,7.098454636091725,4.016504061017864,0.008008332051706236,0.07545977156465807,0.042842887295309384,DHRSX/PFKFB1/TPCN1,3,Rpost_18,Hücresel katabolik sürecin düzenlenmesi
BP,GO:1905039,carboxylic acid transmembrane transport,2/17,156/18986,0.01282051282051282,14.318250377073907,5.000251600204605,0.008413657264024734,0.07545977156465807,0.042842887295309384,SLC1A1/SLC25A15,2,Rpost_18,Karboksilik asit transmembran taşınımı
BP,GO:0098876,vesicle-mediated transport to the plasma membrane,2/17,157/18986,0.012738853503184714,14.227051330086177,4.982035072532178,0.008517750520158353,0.07545977156465807,0.042842887295309384,PLA2G4E/SLC1A1,2,Rpost_18,Vezikül aracılı plazma membranına taşınım
BP,GO:0007612,learning,2/17,159/18986,0.012578616352201259,14.048094709581946,4.946097172495343,0.008727687454764856,0.07545977156465807,0.042842887295309384,GRIN1/SLC1A1,2,Rpost_18,
BP,GO:1903825,organic acid transmembrane transport,2/17,159/18986,0.012578616352201259,14.048094709581946,4.946097172495343,0.008727687454764856,0.07545977156465807,0.042842887295309384,SLC1A1/SLC25A15,2,Rpost_18,
BP,GO:0006591,ornithine metabolic process,1/17,10/18986,0.1,111.68235294117648,10.480538322705925,0.008920079910512246,0.07545977156465807,0.042842887295309384,ASL,1,Rpost_18,Ornitin metabolik süreci
BP,GO:0019614,catechol-containing compound catabolic process,1/17,10/18986,0.1,111.68235294117648,10.480538322705925,0.008920079910512246,0.07545977156465807,0.042842887295309384,SLC6A3,1,Rpost_18,
BP,GO:0042420,dopamine catabolic process,1/17,10/18986,0.1,111.68235294117648,10.480538322705925,0.008920079910512246,0.07545977156465807,0.042842887295309384,SLC6A3,1,Rpost_18,
BP,GO:0042424,catecholamine catabolic process,1/17,10/18986,0.1,111.68235294117648,10.480538322705925,0.008920079910512246,0.07545977156465807,0.042842887295309384,SLC6A3,1,Rpost_18,
BP,GO:0071314,cellular response to cocaine,1/17,10/18986,0.1,111.68235294117648,10.480538322705925,0.008920079910512246,0.07545977156465807,0.042842887295309384,SLC1A1,1,Rpost_18,
BP,GO:0120254,olefinic compound metabolic process,2/17,163/18986,0.012269938650306749,13.703356189101408,4.876131393053265,0.009154535033913265,0.07545977156465807,0.042842887295309384,ALOXE3/GRIN1,2,Rpost_18,
BP,GO:0010508,positive regulation of autophagy,2/17,166/18986,0.012048192771084338,13.45570517363572,4.825253090632269,0.00948074132739795,0.07545977156465807,0.042842887295309384,DHRSX/TPCN1,2,Rpost_18,Otofajinin pozitif düzenlenmesi
BP,GO:0006678,glucosylceramide metabolic process,1/17,11/18986,0.09090909090909091,101.52941176470588,9.984035919474167,0.009807957157641156,0.07545977156465807,0.042842887295309384,GBA3,1,Rpost_18,Glukosileseramit metabolik süreci
BP,GO:0015871,choline transport,1/17,11/18986,0.09090909090909091,101.52941176470588,9.984035919474167,0.009807957157641156,0.07545977156465807,0.042842887295309384,SLC44A1,1,Rpost_18,Kolin taşınımı
BP,GO:0019372,lipoxygenase pathway,1/17,11/18986,0.09090909090909091,101.52941176470588,9.984035919474167,0.009807957157641156,0.07545977156465807,0.042842887295309384,ALOXE3,1,Rpost_18,Lipoksijenaz yolağı
BP,GO:0046477,glycosylceramide catabolic process,1/17,11/18986,0.09090909090909091,101.52941176470588,9.984035919474167,0.009807957157641156,0.07545977156465807,0.042842887295309384,GBA3,1,Rpost_18,Glikosileseramit katabolik süreci
BP,GO:0046689,response to mercury ion,1/17,11/18986,0.09090909090909091,101.52941176470588,9.984035919474167,0.009807957157641156,0.07545977156465807,0.042842887295309384,SLC1A1,1,Rpost_18,Cıva iyonuna yanıt
BP,GO:0070778,L-aspartate transmembrane transport,1/17,11/18986,0.09090909090909091,101.52941176470588,9.984035919474167,0.009807957157641156,0.07545977156465807,0.042842887295309384,SLC1A1,1,Rpost_18,L-aspartat transmembran taşınımı
BP,GO:0006665,sphingolipid metabolic process,2/17,173/18986,0.011560693641618497,12.911254675280517,4.711498719255121,0.010261962703981784,0.07545977156465807,0.042842887295309384,ALOXE3/GBA3,2,Rpost_18,Sfingolipit metabolik süreci
BP,GO:0050806,positive regulation of synaptic transmission,2/17,176/18986,0.011363636363636364,12.691176470588236,4.664742716242247,0.010605310574623014,0.07545977156465807,0.042842887295309384,GRIN1/SLC1A1,2,Rpost_18,Sinaptik iletimin pozitif düzenlenmesi
BP,GO:0000101,sulfur amino acid transport,1/17,12/18986,0.08333333333333333,93.06862745098039,9.550594075682591,0.010695085733573584,0.07545977156465807,0.042842887295309384,SLC1A1,1,Rpost_18,Kükürtlü amino asit taşınımı
BP,GO:0019336,phenol-containing compound catabolic process,1/17,12/18986,0.08333333333333333,93.06862745098039,9.550594075682591,0.010695085733573584,0.07545977156465807,0.042842887295309384,SLC6A3,1,Rpost_18,
BP,GO:0042416,dopamine biosynthetic process,1/17,12/18986,0.08333333333333333,93.06862745098039,9.550594075682591,0.010695085733573584,0.07545977156465807,0.042842887295309384,SLC6A3,1,Rpost_18,
BP,GO:0051583,dopamine uptake involved in synaptic transmission,1/17,12/18986,0.08333333333333333,93.06862745098039,9.550594075682591,0.010695085733573584,0.07545977156465807,0.042842887295309384,SLC6A3,1,Rpost_18,
BP,GO:0051934,catecholamine uptake involved in synaptic transmission,1/17,12/18986,0.08333333333333333,93.06862745098039,9.550594075682591,0.010695085733573584,0.07545977156465807,0.042842887295309384,SLC6A3,1,Rpost_18,
BP,GO:0098976,excitatory chemical synaptic transmission,1/17,12/18986,0.08333333333333333,93.06862745098039,9.550594075682591,0.010695085733573584,0.07545977156465807,0.042842887295309384,GRIN1,1,Rpost_18,
BP,GO:0016052,carbohydrate catabolic process,2/17,180/18986,0.011111111111111112,12.409150326797388,4.604143830520737,0.011071013022971709,0.07704211802287163,0.043741277120320825,GBA3/PFKFB1,2,Rpost_18,Karbonhidrat katabolik süreci
BP,GO:0010960,magnesium ion homeostasis,1/17,13/18986,0.07692307692307693,85.90950226244344,9.16785025455247,0.011581466230176085,0.07741295848591383,0.04395182475163778,TRPM7,1,Rpost_18,Magnezyum iyonu homeostazı
BP,GO:0060134,prepulse inhibition,1/17,13/18986,0.07692307692307693,85.90950226244344,9.16785025455247,0.011581466230176085,0.07741295848591383,0.04395182475163778,SLC6A3,1,Rpost_18,
BP,GO:0075509,endocytosis involved in viral entry into host cell,1/17,13/18986,0.07692307692307693,85.90950226244344,9.16785025455247,0.011581466230176085,0.07741295848591383,0.04395182475163778,TPCN1,1,Rpost_18,Konak hücreye viral girişte rol oynayan endositoz
BP,GO:0006000,fructose metabolic process,1/17,14/18986,0.07142857142857142,79.77310924369748,8.826590751278252,0.01246709923887701,0.07818872115246323,0.04439227019431191,PFKFB1,1,Rpost_18,Fruktoz metabolik süreci
BP,GO:0009263,deoxyribonucleotide biosynthetic process,1/17,14/18986,0.07142857142857142,79.77310924369748,8.826590751278252,0.01246709923887701,0.07818872115246323,0.04439227019431191,RRM2,1,Rpost_18,Deoksiribonükleotit biyosentetik süreci
BP,GO:0009265,2'-deoxyribonucleotide biosynthetic process,1/17,14/18986,0.07142857142857142,79.77310924369748,8.826590751278252,0.01246709923887701,0.07818872115246323,0.04439227019431191,RRM2,1,Rpost_18,2'-deoksiribonükleotit biyosentetik süreci
BP,GO:0010524,positive regulation of calcium ion transport into cytosol,1/17,14/18986,0.07142857142857142,79.77310924369748,8.826590751278252,0.01246709923887701,0.07818872115246323,0.04439227019431191,GRIN1,1,Rpost_18,Kalsiyum iyonunun sitozole taşınımının pozitif düzenlenmesi
BP,GO:0046385,deoxyribose phosphate biosynthetic process,1/17,14/18986,0.07142857142857142,79.77310924369748,8.826590751278252,0.01246709923887701,0.07818872115246323,0.04439227019431191,RRM2,1,Rpost_18,Deoksiriboz fosfat biyosentetik süreci
BP,GO:1902600,proton transmembrane transport,2/17,195/18986,0.010256410256410256,11.454600301659125,4.392960883532091,0.012896843768699418,0.07872114986047736,0.04469456084080149,ATP6V0A4/CYB5A,2,Rpost_18,Proton transmembran taşınımı
BP,GO:0009084,glutamine family amino acid biosynthetic process,1/17,15/18986,0.06666666666666667,74.45490196078431,8.519789095708346,0.013351985350670281,0.07872114986047736,0.04469456084080149,ASL,1,Rpost_18,Glutamin ailesi amino asit biyosentetik süreci
BP,GO:0043278,response to morphine,1/17,15/18986,0.06666666666666667,74.45490196078431,8.519789095708346,0.013351985350670281,0.07872114986047736,0.04469456084080149,SLC1A1,1,Rpost_18,
BP,GO:0060033,anatomical structure regression,1/17,15/18986,0.06666666666666667,74.45490196078431,8.519789095708346,0.013351985350670281,0.07872114986047736,0.04469456084080149,SLC6A3,1,Rpost_18,Anatomik yapı gerilemesi
BP,GO:1903826,L-arginine transmembrane transport,1/17,15/18986,0.06666666666666667,74.45490196078431,8.519789095708346,0.013351985350670281,0.07872114986047736,0.04469456084080149,SLC25A15,1,Rpost_18,L-arjinin transmembran taşınımı
BP,GO:0006750,glutathione biosynthetic process,1/17,16/18986,0.0625,69.80147058823529,8.241980641841947,0.014236125156111723,0.07872114986047736,0.04469456084080149,SLC1A1,1,Rpost_18,Glutatyon biyosentetik süreci
BP,GO:0009313,oligosaccharide catabolic process,1/17,16/18986,0.0625,69.80147058823529,8.241980641841947,0.014236125156111723,0.07872114986047736,0.04469456084080149,GBA3,1,Rpost_18,Oligosakkarit katabolik süreci
BP,GO:0014072,response to isoquinoline alkaloid,1/17,16/18986,0.0625,69.80147058823529,8.241980641841947,0.014236125156111723,0.07872114986047736,0.04469456084080149,SLC1A1,1,Rpost_18,
BP,GO:0021984,adenohypophysis development,1/17,16/18986,0.0625,69.80147058823529,8.241980641841947,0.014236125156111723,0.07872114986047736,0.04469456084080149,SLC6A3,1,Rpost_18,Adenohipofiz gelişimi
BP,GO:0098877,neurotransmitter receptor transport to plasma membrane,1/17,16/18986,0.0625,69.80147058823529,8.241980641841947,0.014236125156111723,0.07872114986047736,0.04469456084080149,SLC1A1,1,Rpost_18,Nörotransmitter reseptörünün plazma membranına taşınımı
BP,GO:0006836,neurotransmitter transport,2/17,209/18986,0.009569377990430622,10.687306501547987,4.215708989643866,0.014711976089163718,0.07872114986047736,0.04469456084080149,SLC1A1/SLC6A3,2,Rpost_18,Nörotransmitter taşınımı
BP,GO:0098712,L-glutamate import across plasma membrane,1/17,17/18986,0.058823529411764705,65.6955017301038,7.988842715836978,0.01511951924532362,0.07872114986047736,0.04469456084080149,SLC1A1,1,Rpost_18,L-glutamatın plazma membranından alımı
BP,GO:0006643,membrane lipid metabolic process,2/17,218/18986,0.009174311926605505,10.246087425796006,4.110406636738357,0.015934203726670374,0.07872114986047736,0.04469456084080149,ALOXE3/GBA3,2,Rpost_18,Membran lipit metabolik süreci
BP,GO:0019184,nonribosomal peptide biosynthetic process,1/17,18/18986,0.05555555555555555,62.04575163398693,7.756904964881235,0.01600216820799083,0.07872114986047736,0.04469456084080149,SLC1A1,1,Rpost_18,Nonribozomal peptit biyosentetik süreci
BP,GO:0042053,regulation of dopamine metabolic process,1/17,18/18986,0.05555555555555555,62.04575163398693,7.756904964881235,0.01600216820799083,0.07872114986047736,0.04469456084080149,SLC6A3,1,Rpost_18,Dopamin metabolik sürecinin düzenlenmesi
BP,GO:0042069,regulation of catecholamine metabolic process,1/17,18/18986,0.05555555555555555,62.04575163398693,7.756904964881235,0.01600216820799083,0.07872114986047736,0.04469456084080149,SLC6A3,1,Rpost_18,Katekolamin metabolik sürecinin düzenlenmesi
BP,GO:0090494,dopamine uptake,1/17,18/18986,0.05555555555555555,62.04575163398693,7.756904964881235,0.01600216820799083,0.07872114986047736,0.04469456084080149,SLC6A3,1,Rpost_18,
BP,GO:0097401,synaptic vesicle lumen acidification,1/17,18/18986,0.05555555555555555,62.04575163398693,7.756904964881235,0.01600216820799083,0.07872114986047736,0.04469456084080149,ATP6V0A4,1,Rpost_18,Sinaptik vezikül lümen asidifikasyonu
BP,GO:0048167,regulation of synaptic plasticity,2/17,220/18986,0.00909090909090909,10.152941176470588,4.087838210526971,0.016211606892657014,0.07872114986047736,0.04469456084080149,GRIN1/SLC1A1,2,Rpost_18,
BP,GO:0007625,grooming behavior,1/17,19/18986,0.05263157894736842,58.78018575851393,7.543344728089257,0.016884072633363334,0.07872114986047736,0.04469456084080149,SLC1A1,1,Rpost_18,
BP,GO:0016137,glycoside metabolic process,1/17,19/18986,0.05263157894736842,58.78018575851393,7.543344728089257,0.016884072633363334,0.07872114986047736,0.04469456084080149,GBA3,1,Rpost_18,Glikozit metabolik süreci
BP,GO:0030812,negative regulation of nucleotide catabolic process,1/17,19/18986,0.05263157894736842,58.78018575851393,7.543344728089257,0.016884072633363334,0.07872114986047736,0.04469456084080149,PFKFB1,1,Rpost_18,Nükleotit katabolik sürecinin negatif düzenlenmesi
BP,GO:0033122,negative regulation of purine nucleotide catabolic process,1/17,19/18986,0.05263157894736842,58.78018575851393,7.543344728089257,0.016884072633363334,0.07872114986047736,0.04469456084080149,PFKFB1,1,Rpost_18,Pürin nükleotit katabolik sürecinin negatif düzenlenmesi
BP,GO:0045820,negative regulation of glycolytic process,1/17,19/18986,0.05263157894736842,58.78018575851393,7.543344728089257,0.016884072633363334,0.07872114986047736,0.04469456084080149,PFKFB1,1,Rpost_18,Glikolitik sürecin negatif düzenlenmesi
BP,GO:0090493,catecholamine uptake,1/17,19/18986,0.05263157894736842,58.78018575851393,7.543344728089257,0.016884072633363334,0.07872114986047736,0.04469456084080149,SLC6A3,1,Rpost_18,
BP,GO:1903428,positive regulation of reactive oxygen species biosynthetic process,1/17,19/18986,0.05263157894736842,58.78018575851393,7.543344728089257,0.016884072633363334,0.07872114986047736,0.04469456084080149,GRIN1,1,Rpost_18,Reaktif oksijen türleri biyosentetik sürecinin pozitif düzenlenmesi
BP,GO:1990822,basic amino acid transmembrane transport,1/17,19/18986,0.05263157894736842,58.78018575851393,7.543344728089257,0.016884072633363334,0.07872114986047736,0.04469456084080149,SLC25A15,1,Rpost_18,Bazik amino asit transmembran taşınımı
BP,GO:0006525,arginine metabolic process,1/17,20/18986,0.05,55.84117647058824,7.345839424819743,0.017765233110256018,0.07872114986047736,0.04469456084080149,ASL,1,Rpost_18,Arjinin metabolik süreci
BP,GO:0010522,regulation of calcium ion transport into cytosol,1/17,20/18986,0.05,55.84117647058824,7.345839424819743,0.017765233110256018,0.07872114986047736,0.04469456084080149,GRIN1,1,Rpost_18,Kalsiyum iyonunun sitozole taşınımının düzenlenmesi
BP,GO:0015810,aspartate transmembrane transport,1/17,20/18986,0.05,55.84117647058824,7.345839424819743,0.017765233110256018,0.07872114986047736,0.04469456084080149,SLC1A1,1,Rpost_18,Aspartat transmembran taşınımı
BP,GO:0043651,linoleic acid metabolic process,1/17,20/18986,0.05,55.84117647058824,7.345839424819743,0.017765233110256018,0.07872114986047736,0.04469456084080149,ALOXE3,1,Rpost_18,Linoleik asit metabolik süreci
BP,GO:0046835,carbohydrate phosphorylation,1/17,20/18986,0.05,55.84117647058824,7.345839424819743,0.017765233110256018,0.07872114986047736,0.04469456084080149,PFKFB1,1,Rpost_18,Karbonhidrat fosforilasyonu
BP,GO:0097254,renal tubular secretion,1/17,20/18986,0.05,55.84117647058824,7.345839424819743,0.017765233110256018,0.07872114986047736,0.04469456084080149,ATP6V0A4,1,Rpost_18,Renal tübüler sekresyon
BP,GO:0019722,calcium-mediated signaling,2/17,235/18986,0.00851063829787234,9.504881101376721,3.9273309843321598,0.018358294913679605,0.07872114986047736,0.04469456084080149,GRIN1/TPCN1,2,Rpost_18,Kalsiyum aracılı sinyal
BP,GO:0006677,glycosylceramide metabolic process,1/17,21/18986,0.047619047619047616,53.18207282913165,7.162458087085889,0.018645650227051114,0.07872114986047736,0.04469456084080149,GBA3,1,Rpost_18,Glikosileseramit metabolik süreci
BP,GO:0015693,magnesium ion transport,1/17,21/18986,0.047619047619047616,53.18207282913165,7.162458087085889,0.018645650227051114,0.07872114986047736,0.04469456084080149,TRPM7,1,Rpost_18,Magnezyum iyonu taşınımı
BP,GO:0097049,motor neuron apoptotic process,1/17,21/18986,0.047619047619047616,53.18207282913165,7.162458087085889,0.018645650227051114,0.07872114986047736,0.04469456084080149,SLC1A1,1,Rpost_18,Motor nöron apoptotik süreci
BP,GO:2001135,regulation of endocytic recycling,1/17,21/18986,0.047619047619047616,53.18207282913165,7.162458087085889,0.018645650227051114,0.07872114986047736,0.04469456084080149,PLA2G4E,1,Rpost_18,Endositik geri dönüşümün düzenlenmesi
BP,GO:0044242,cellular lipid catabolic process,2/17,238/18986,0.008403361344537815,9.385071675729115,3.89695444154427,0.01880147763851338,0.07872114986047736,0.04469456084080149,GBA3/PLA2G4E,2,Rpost_18,Hücresel lipit katabolik süreci
